2025-06-11 11:32:17.242 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:32:17.981 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:32:18.013 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.956 seconds (process running for 1.457)
2025-06-11 11:36:02.106 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 6806 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:36:02.107 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:36:02.836 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:36:02.865 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.939 seconds (process running for 1.427)
2025-06-11 11:36:56.378 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 6943 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:36:56.379 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:36:57.090 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:36:57.121 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.911 seconds (process running for 1.385)
